Submitter	bases	rel_bases
Catholic University of KOREA	1.93644476642e+12	0.000160384723232
ucsf-phs000941	1.91623517972e+12	0.000158710877933
IMPERIAL COLLEGE LONDON	1.89843022446e+12	0.0001572361946
ED	1.89837411137e+12	0.000157231547072
NIAS	1.87595736513e+12	0.000155374895281
cchmc-phs001011	1.86626260542e+12	0.00015457193339
Fred Hutchinson Cancer Research Center	1.86512401775e+12	0.000154477630639
University of Kansas	1.85679826821e+12	0.000153788056086
Center for Geogenetics, Natural History Museum of	1.85395461435e+12	0.000153552532385
Uppsala university	1.84306298726e+12	0.000152650440765
Donghua University	1.84225320609e+12	0.000152583371189
PINEREFSEQ	1.8381342646e+12	0.000152242222656
BRAEMBL	1.83732167845e+12	0.00015217492076
Cancer Science Institute of Singapore	1.83708301699e+12	0.000152155153786
The Genome Analysis Centre	1.82492317247e+12	0.000151148022919
nci	1.81406684165e+12	0.000150248854688
Auburn University	1.81258186460e+12	0.000150125862473
MGH-phs000371	1.81223084094e+12	0.000150096789176
Wellcome Trust Centre for Human Genetics	1.81110736375e+12	0.000150003737941
ICL-MRC	1.80896933456e+12	0.000149826657124
Institut Curie	1.80834026337e+12	0.00014977455473
North Carolina State University	1.80551907575e+12	0.00014954089178
University of California, Irvine	1.80082088473e+12	0.000149151767299
CU-ICG	1.79420614925e+12	0.000148603906323
IBSC	1.77980984541e+12	0.00014741154223
CAAS	1.77588387589e+12	0.00014708637647
ROSLIN	1.75048422571e+12	0.000144982667686
Princeton University	1.74735625397e+12	0.00014472359555
CHOP-phs000935	1.7305856116e+12	0.000143334578481
The Scripps Research Institute	1.70944695812e+12	0.000141583783856
Plant Energy Biology	1.70390381355e+12	0.00014112467667
University of Chicago	1.7001477221e+12	0.000140813580945
University of Puerto Rico	1.69550424665e+12	0.000140428988244
None	1.69297929971e+12	0.000140219861227
Stanford University School of Medicine	1.68000088213e+12	0.000139144932601
Genome Institute of Singapore	1.67754419864e+12	0.000138941459459
JiHyun_Lee	1.67079758131e+12	0.000138382675459
Griffith University	1.67063206679e+12	0.000138368966831
Institutes for Advanced Interdisciplinary Researc	1.66671928674e+12	0.00013804489348
THE CHINESE UNIVERSITY OF HONG KONG	1.662006978e+12	0.000137654599707
OSAKA_FB	1.65687598859e+12	0.000137229628992
Joint Genome Institute	1.65651215411e+12	0.000137199494648
NCI-phs001041	1.6531352755e+12	0.00013691980697
CRITFC	1.6514934965e+12	0.000136783827739
NCI-CGF	1.65083769758e+12	0.000136729511639
University of Illinois Urbana-Champaign	1.64200628180e+12	0.000135998055622
NHLBI-phs000987	1.63594968675e+12	0.000135496422248
University of Liverpool	1.62091598696e+12	0.000134251266268
Massachusetts Institute of Technology	1.6206746413e+12	0.000134231276978
Hangzhou Cancer Hospital	1.61175736306e+12	0.000133492709461
GMI-MPB	1.58698188717e+12	0.00013144069749
SCELSE NTU	1.58614771284e+12	0.000131371607567
MDC	1.58480915431e+12	0.000131260742365
UNIVERISTY OF OXFORD	1.58310970102e+12	0.0001311199863
University of calgary in Canada	1.57663501579e+12	0.000130583724892
Institute of Neuroscience, Shanghai Institutes for	1.57566805245e+12	0.000130503636809
National Center for Gene Research, Chinese Academy	1.57420936002e+12	0.000130382821598
The Pirbright Institute	1.55588181954e+12	0.0001288648555
LIPM-INRA-CNRS	1.55231518383e+12	0.000128569451318
Gregor mendel Institute	1.55171063158e+12	0.000128519379689
KRIBB	1.54908091409e+12	0.000128301575123
Surgery Branch	1.54208836506e+12	0.000127722421997
University of Colorado	1.52958687307e+12	0.000126686994409
NINDS-phs000908	1.52642926003e+12	0.000126425467252
Teagasc	1.52548466076e+12	0.000126347231459
University of North Carolina at Chapel Hill	1.52309079089e+12	0.000126148960812
SUDB-QL	1.52184821148e+12	0.000126046045016
LSHTM	1.5183778483e+12	0.000125758614541
EMBL - Germany	1.51087325003e+12	0.000125137051284
