date,bases,open_access_bases,bytes,open_access_bytes
"08/31/2011",160999714977347,115524837571808,194188778598002,161279193488907
"09/01/2011",161565989514619,116091112109080,194589647838208,161680062729113
"09/02/2011",161605937507399,116131060101860,194614111678284,161704526569189
"09/03/2011",161672524807387,116135183009980,194666617592006,161714168198048
"09/05/2011",161792718942911,116135183009980,194743124239934,161714168198048
"09/06/2011",161919306662402,116254621617369,194819859477838,161786329198782
"09/07/2011",161946091410783,116281406365750,194836685781104,161803155502048
"09/08/2011",162105786838845,116441101793812,194935701214078,161902170935022
"09/09/2011",162272687828585,116608002783552,195070883584353,162037353305297
"09/10/2011",162273785852574,116609100807541,195073285813282,162039755534226
"09/11/2011",162312397294352,116647712249319,195092455633172,162058925354116
"09/12/2011",162437650182275,116772965137242,195183959584390,162150429305334
"09/13/2011",162494277287697,116829592242664,195221864749300,162188334470244
"09/14/2011",162656022579882,116991337534849,195339947738935,162306417459879
"09/15/2011",163230212808928,117565527763895,195704029190254,162670498911198
"09/16/2011",164100696718827,118436011673794,196234001604922,163200471325866
"09/18/2011",164107163497183,118442478452150,196238170153111,163204639874055
"09/19/2011",164212203182953,118547518137920,196309507940056,163275977661000
"09/20/2011",164263900907692,118599215862659,196349488937669,163315958658613
"09/21/2011",164273778990998,118609000241744,196358547455071,163324812732617
"09/22/2011",164360189993316,118695411244062,196423671733188,163389937010734
"09/23/2011",164404039659393,118739260910139,196456945770168,163423211047714
"09/24/2011",164414996904935,118750218155681,196468180322966,163434445600512
"09/26/2011",165525712580037,119842110318591,197171613369115,164129842052738
"09/27/2011",166129140909113,120445538647667,197571691676648,164529920360271
"09/28/2011",166619286542506,120935684281060,197880719598759,164838948282382
"09/29/2011",166700038900626,121016436639180,197927344057337,164885572740960
"09/30/2011",167400171224665,121716568963219,198377574844263,165335803527886
"10/01/2011",167655160575069,121971558313623,198554189732388,165512418416011
"10/02/2011",167848601584607,122164999323161,198670452491518,165628681175141
"10/03/2011",168316411291695,122632809030249,198966680079581,165924908763204
"10/04/2011",168424525829433,122740923567987,199030424578746,165988653262369
"10/05/2011",168699032861972,123015430600526,199215190913061,166173419596684
